Subcritical assembly fuel
Subcritical assembly components
Subcritical assembly moderator
Phantom dosimeters
Secondary standard dosimetry systems
Dosimeters
Ionization chamber dosimeters
Hot cell sample processing equipment
Hot cell decontamination systems
Hot cell remote handling equipment
Hot cell remote viewing device
Hot cell shielding doors
Hot cell samplers
Hot cell penetration devices
Hot cell special tools
Hot cell lead glass windows
Industrial nucleonic airborne dust measuring systems
Beta gauge measuring systems
Industrial nucleonic mass per unit ore measuring systems
Industrial nucleonic moisture measuring systems
Industrial nucleonic thickness measuring systems
Industrial nucleonic liquid level gauges
Isotope separators
Isotope production facilities
Isotope calibrator activity meters
Industrial nucleonic flow measuring systems
Neutron generators
Irradiation gamma sources
NIM nuclear electronic units
Neutron irradiators
Irradiation testing capsules
Irradiation sample transfer system
Magnet systems
Nuclear reactor earthquake instrumentation
Nuclear reactor in core neutron flux instrumentation
Nuclear reactor control rod systems
Nuclear reactor specimen irradiation containers
Nuclear fuel cladding tubes
Nuclear fuel element failure detection systems
Lead bricks for radiation protection
Film badges
Radiographic equipment
Shielded containers for radiation protection
Lead chambers or safes for radiation protection
Glove boxes for radiation protection
Radiation shielding windows
Lead for radiation shielding
Lead screens
Radioactive waste treatment compactors or incinerators
Nuclear radiation absorbers
Atomic energy evaporators or concentrators or dryers
Door interlocking systems
Radioactive waste dosage systems
Radioactive waste solidification systems
Radioactive waste disposal systems
Radioactive waste treatment facilities
