Vehicle body repair service	Vehicle body painting service
Oil change service	transmission fluid change service
Landing gear repair
Vehicle inspection service
Vehicle glass replacement service
Automotive and light truck maintenance and repair
Heavy truck maintenance and repair
Transmission repair
Panelbeating service
Vehicle fueling service
Transportation storage service
Vehicle parking service
