Uniform rental
Laundry services
Dry cleaning
Coin operated self service laundries
Cooking services	food preparation services
Housekeeping services
Yard services	pool care services
Used clothing consignment services
Barter clubs	barter consortiums
Wardrobe buying services
Fur storage
Locker rental
Check room concessions
Valet services
Elderly daycare services
Assisted living services
Infant services	child daycare services
Nanny services	babysitting services
