Dressing education products
Therapeutic decorating boxes
Therapeutic puzzles
Therapeutic pegboards	Therapeutic activity boards
Therapeutic games
Cognitive or dexterity or perceptual or sensory evaluation or testing products
Jaw exercise equipment
Weight machines for rehabilitation	Weight machines for therapy
Ultrasonic therapy apparatus or supplies
Lung exercisers for rehabilitation	Lung exercisers for therapy
Powder boards for rehabilitation	Powder boards for therapy
Mats for rehabilitation	platforms for rehabilitation	platforms for therapy
Weight belts or kits for rehabilitation or therapy
Sandbags or sandbag sets for rehabilitation or therapy
Treadmill exercisers for rehabilitation or therapy
Weights for rehabilitation	sets for rehabilitation	accessories for rehabilitation	Weights for therapy
Vestibular motion devices for rehabilitation or therapy
Therapeutic balls	Therapeutic balls accessories
Skateboards or figure eight boards for rehabilitation or therapy
Resistive exercise bands or putty or tubing or accessories for rehabilitation or therapy
Pulleys or accessories for rehabilitation or therapy
Pedal exercisers for rehabilitation or therapy
Extremity exercise skates for rehabilitation or therapy
Continuous passive motion CPM devices or accessories
Climbing devices for rehabilitation or therapy
Therapeutic cushion seats or accessories
Balance beams or boards or bolsters or rockers for rehabilitation or therapy
Wrist exercisers for rehabilitation or therapy
Therapeutic ceramic clay or accessories
Boot exercisers for rehabilitation or therapy
Electric vibrators for rehabilitation or therapy
Training ramps for rehabilitation or therapy
Gait belts for rehabilitation or therapy
Training stairs for rehabilitation or therapy
Gait bars for rehabilitation or therapy
Gait training walkers or bikers or exercisers or accessories
Parallel bars for rehabilitation or therapy
Bolt boards or accessories for rehabilitation or therapy
Work tables or stations or accessories for rehabilitation or therapy
Push or pull carts or accessories for rehabilitation or therapy
Pipe trees or accessories fore rehabilitation or therapy
Lift boxes or accessories for rehabilitation or therapy
