Fresh herbs
Spices	spice extracts
Cooking salt	table salt
Seasoning mix
Vinegars
Cooking wines
Savory spread	pate
Salad dressing	salad dips
Cooking sauce
Dipping sauces	condiments	spreads	marinades
Pickles
Relish
Chutneys
