Helicopter services
Commercial airplane travel
Chartered airplane travel
Continental rail services	inter continental rail services
Light rail vehicle transport LRV services
Subway transport
Water taxis
Overnight ship cruises
Sightseeing boat excursions
Marine craft rental services	Marine craft leasing service
Vehicle rental
Vehicle leasing
Taxicab services
Chartered bus services
Scheduled bus services
Parking fees
Experimental missions	educational missions
