Hotels
Lodges	resorts
Bed and breakfast inns
Cottage rental services
Meeting rooms	banquet rooms
Conference centers
Videoconferencing facilities
Marquees
Recreational vehicle campsite facilities
Campsites
Government owned parks
Single room
Double room
Suite
