Fiber mesh bag
Rope bags and rope packs
Water bags
Tent bag
Laundry nets or bags
Canvas bags
Tool bags
Plastic bags
Flexible intermediate bulk containers
Paper bags
Reservoirs
Rinse tanks
Containment basin
Water storage tanks
Processing tanks
Carboys
Expansion tanks
Dip tanks
Chemical tanks
Calibrating tanks
Storage tanks
Air or gas tanks or cylinders
Fuel storage tanks
Non metallic bins
Metallic bins
Metallic baskets
Non metallic baskets
Material handling racks
Drum lid
Intermediate bulk containers
Stabilizer
Metallic drums
Casks
Non metallic drums
Barrels
Non metallic pails
Metallic flammable liquid cans
Non metallic flammable liquid cans
Spray kit
Jerrycans
Metallic pails
Equipment transportation case
Road and flight case
Box lids
Antistatic boxes
Mailboxes
Tool belts
Hazardous materials cabinets
Tool chests or boxes or cabinets
Box or shelf partitions
Box
Corrugated cardboard shapes
One piece die cut shipping cartons
Die cut corrugated shipping cartons with separate lids
Molded boxes
Slotted corrugated cartons
Jugs
Jars
Plastic pallet
Wood pallet
Flatrack freight container
Platform freight container
Open top freight container
Dry freight container
Wooden crate
Plastic slip sheet
Corrugated slip sheet
Fiberboard or solid kraftboard slip sheet
