Bamboo
Plywood
Hemp


# Rosin
# Lac
# Maple wood
# Cherry wood
# Oak wood
# Poplar wood
# Teak wood
# Hardwoods
# Pine wood
# Soft timber
# wood log
# Wood material
# Wood pith
# Wood pulp
# Wood wool
# Wood tar
# Wood flour
# Bark
# Wood chips
# Saw dust
# Wood veneers
# Medium density fiberboard
# Particleboard
# chipboard
# Cork
# Rattan
# Logs
# Balsams
# Mulch
# Peat moss
# Broom corn	istle	piassava
# Ramie
# Hemp
# Cotton
# Flax
# Jute
# Sisal
# Coconut fibres	coconut coir
# Abaca fibers
# Straw
# Licorice roots

