Jetways
Ground support vehicle maintenance kit
Airstairs trucks	stair trucks
Lavatory service equipment for aircraft
Aircraft deicing equipment
Aircraft pushback or tow tractors
Aircraft towbar
Ground power units for aircraft
Aircraft flight simulators or trainers
Aircraft cargo handling equipment
Aircraft refueling equipment
Integrated maintenance information systems
Ground support test systems	Ground support maintenance systems
Ground support training systems
Spacecraft flight simulators
Liquid launch vehicles
Spacecraft service modules
Solid launch vehicles
Payload delivery systems for spacecraft
Tire changing machines
Engine stands	vehicle stands
Wheel balancing equipment
Wheel alignment equipment
