Silicon carbide
Activated carbon
Mulite
Fluorspar
Kieserite
Carnallite
Activated alumina
Garnets
Zeolite
Calcite
Peridot
Pyrophyllite
Diatomaceous silica
Diamonds
Mica
Steatite
Emery
Quartz
Talc
Pyrite
Sulphur
Chalk
Graphite
Dolomite
Serpentine
Asbestos
Calcium
Borate
Cryolite
Nephelite
Leucite
Magnesite
Feldspar
Tantalum ore
Platinum ore
Vermiculite ore
Antimony ore
Kyanite ore
Gold ore
Zirconium ore
Magnetite ore
Thorium ore
Cobalt ore
Chromium ore
Tungsten or wolfram ore
Manganese ore
Tin ore
Zinc ore
Lead ore
Nickel ore
Aluminum ore
Copper ore
Uranium ore
Titanium ore
Iron ore
Molybdenum ore
Silver ore
Steel
Tin
Zinc
Palladium
Indium
Lead
Iron
Ferrous alloy
Cadmium
Antimony
Bismuth
Nickel
Aluminum
Natural graphite
Non ferrous alloy
Slag or ash
Platinum
Gold
Silver
