Local telephone service
Frame relay telecommunications service
Interactive voice response service
Call centre bureau services
Conference calling services
Long distance telephone services
Pay phone provider services
Pre paid phone card services
Directory assistance services
Toll free inbound telephone service
Paging services
Spacesegment leasing
Cellular telephone services
Satellite or earth communication systems services
Telecommunication signal enhancement network services
Telegraph transmission services
Facsimile transmission services
Telex transmission services
Cable television services
Closed circuit television services
Television antenna construction or rental services
Television broadcasting station management
Radio broadcasting station management
Amateur radio networks or services
International bilateral services and international private leased lines
Small scale radio systems
Radio studio services	radio equipment services
Frame relay public managed network services
VPN virtual private network managed network services
X75 managed network services
X25 managed network services
Directional radio capacity disaster recovery management service
ATM asynchronous transfer mode managed network services
Dark fiber
Dense wavelength division multiplexing DWDM
Wave division multiplexing WDM
Ocx optical carrier service
Multi point analog telecommunications circuit
Point to point analog telecommunications circuit
Point to point digital telecommunications circuit
High speed circuit switched dial up services
DSL digital subscriber line
ISDN integrated services digital network services
Submarine cable capacities and submarine cable PoP to PoP capacities
Terrestrial backbone capacities
Rights of way for transit for half circuit systems, DDPs and admin lease
Indefeasible rights of use IRU for submarine cable or terrestrial cable systems
Crossconnection functionality
Directional radio backbone capacity technical infrastructure service
Dial access services
International access lines
Directional radio capacity customer access service
Local loop capacities
Domestic leased lines
External international lines
