Automotive windshield wipers
Locomotive windshield wipers
Marine windshield wipers
Truck windshield wipers
Windshield wiper pump
Wiper blades
Automotive defrosting or defogging systems
Train defrosting or defogging systems
Band brake
Antilock braking system ABS
Brake bleed screw cap
Mechanical brake	parking brake
Disc brake pads
Brake booster
Brake repair kits
Brake pistons
Brake lines
Antilock braking system ABS coil 
Dual circuit brake
Drum brake shoes
Disc brake rotors
Brake drum
Drag chutes
Rotors
Brake calipers
Drum brake
Disc brake
Liquid cooled brake
Train braking systems
Automotive braking systems
Master cylinders
Slave cylinders
Automobile rims or wheels
Train wheels
Truck rims	truck wheels
Automotive wheel cover
Tire valves
Automobile suspension systems
Truck suspension systems
Truck shock absorbers
Automobile shock absorbers
Train suspension systems
Struts
Automotive bushings
Sway bars
Shock absorber
Slip plates
Automotive control arm
Active suspension system
Airbags
Airbag cover assembly
Seat bladder 
Seat belt webbing 
Curtain airbag inflator 
Side airbag inflator
Knee airbag inflator 
Passenger airbag inflator 
Driver airbag inflator
Airbag inflator 
Airbag fabric 
Airbag fabric assembly 
Vehicle keyless entry control or fob
Tire chains
Central locking system
Wheel clamps
Vehicle traction control systems
Vehicle stability control systems
Remote locking system
Vehicle horns
Air bag propellant canisters
Head restraints
Impact sensing systems
Collision avoidance systems
Seatbelts
Seat belt tension sensor BTS 
Driver information system
Tailgates or liftgates
Roll up truck doors
Removable automotive doors
Automotive doors
Automotive windshields
Automotive windows
Window lift or regulator assembly 
Fuel injector o ring
Fuel tank float
Fuel module
Fuel or oil caps
Breather elements
Fuel tanks
Fuel injection systems
Hybrid fuel storage systems
Heavy truck tire tube
Foam tire
Tire treads
Tire cord
Bicycle tires
Automobile tire tubes
Automobile tires	light truck tires
Heavy truck tires
Tire repair kit
Bicycle tubes
Motorcycle tire
Vehicle hoods
Vehicle grilles
Vehicle side panels
Vehicle mirrors
Mud flap
Automotive fenders
Automotive trim
License plate
Vehicle bumpers
Fascias
Space environmental control systems
Marine environmental control systems
Vehicle climate control systems
Automotive hydraulic systems
Marine hydraulic systems
Exterior automobile lighting
Exterior railcar lighting
Exterior ship or boat lighting
Headlamp wiper or washer systems
Reflectors
Vehicle headlight
Vehicle light pipe
Coated vehicle interior lighting lense
Uncoated vehicle interior lighting lense
Light plate assemblies
Interior ship or boat lighting
Interior railcar lighting
Interior automobile lighting
Vehicular global positioning systems
Vehicle navigation systems
Automotive computer systems
Electronic ignition systems
Mufflers or resonators
Exhaust manifolds
Muffler adapters
Spark arresters
Catalytic mat
Catalytic substrate
Catalytic waste coat and solution 
Catalytic converters
Axle repair kits
Constant velocity joints
Axle shafts
Axle housings
Axle hubs
Universal joints
Drive shafts
Manual transmissions
Automatic transmissions
Clutch cables
Hydraulic clutch parts
Drivetrain chains
Propeller or prop shaft
Non driving axles
Driving axles
Differentials
Axle spindles
Ignition
Engine starter motor
Vehicle interior die cut electrical and shielding component
Radiator caps
Fan
Vehicle gauge indicator pointer
Engine coolant
Engine radiators
Emergency vehicle exits
Permanent convertible roof tops
Removable hard roof tops
Removable soft roof tops
Roof rack systems
Sunroofs or moonroofs
Wind deflectors
Steering cylinder assemblies
Power steering tuning cable
Steering sacks
Steering suspension
Ball joint
Power steering system
Tie Rods
Drag link
Steering linkage
Hublock
Pinions
Steering wheels
Steering column assemblies
Leather steering wheel
Wood steering wheel
Vehicle interior badge or emblem
Vehicle decorative applique
Bezels
Consoles
Door panels
Headliners
Instrument clusters
Instrument panels
Pedals
Power ports or lighters
Sun visors
Vehicle sound systems and components
Rubber key pad
Seat covers
Seat cushions or bolsters
Seat frames
Helm or boat seating
Cycle pedals
Truck suction stabilizer or ground jack
Molded vehicle vibration dampener and isolator
Extruded vehicle vibration dampener and isolator
Die cut vehicle vibration dampener and isolator
