Subsidence service work
Handyman services
Disaster proofing services	disaster contingency services
Locksmith services
Elevator maintenance services
Building maintenance service
Floor cleaning services
Refuse area construction service
Plumbing system maintenance	Plumbing system repair
Air conditioning installation	Air conditioning maintenance	Air conditioning repair service
Hoist construction service
Offsite construction service
Fire protection system and equipment maintenance or repair service
Animal trapping
Structural pest control
Rodent control
Termite control services
Bird proofing services
Extermination or fumigation services
Landscaping services
Snow removal services
Exterior grounds maintenance
Aboveground conveyor service
Underground conveyor service 
Material conveyance system repair
Material conveyance system installation
Parking lot or road maintenance or repairs or services
Telecom equipment maintenance or support
Parking lot sweeping services	road sweeping services
