College libraries	university libraries
National government libraries	military post libraries
General municipal public use libraries
Privately owned libraries
Computerized information retrieval systems
Online database information retrieval systems
Remote database information retrieval services
Skip tracing
Tourism board services
Chambers of Commerce
Television related services
Radio related services
Internet related services
Citizen warning systems
