Electronic newspapers
Electronic magazines
Books on tape	Books on compact disc
Electronic catalogs
Electronic encyclopedias
Electronic dictionaries
Background music
Electronic charts	electronic maps	electronic atlases
Motion pictures on video tape
Music on tape or compact disc
Electronic educational texts	electronic vocational texts
Motion pictures on digital video disk DVD
Electronic directories
Motion pictures on celluloid
Electronic software documentation	electronic software user manuals
