Digital printing
Letterpress printing	screen printing
Promotional printing	advertising printing
Publication printing
Stationery printing	business form printing
Wrap printing	tag printing	label printing	seal printing	bag printing
Security printing	financial instruments printing
Textile printing
Technical manual printing	instruction sheet printing
Embossing
Typesetting
Planning of graphic production	layout of graphic production
Currency engraving
Engraved roll printing
Metal plate engraving
Black and white copy services	Black and white collating services
Color copy service	color collating services	Colour copy service	colour collating services
Textbook publishing	research publishing
Author funded publishing services
Case making services
Velo binding services
Binding restoration or repair
Comb or clamp type binding
Glued binding
Spiral binding
Thread stitch bookbinding
Bronzing	gilding	edging	deckling
