Jump ropes
Exercise trampolines
Exercise balls
Step aerobic equipment
Cross trainers
Inversion machine
Wall bars
Body twister
Rowing machines
Stationary bicycles
Treadmills
Stair climbers
Resistance bands
Multi gyms
Resistance tubes
Grip strengthener
Pilates machines
Fitness weights
Upper body resistance machines
Weight benches	weight racks
Lower body resistance machines
Barbells
Dumbbells
