Leather waste	Leather scrap
Wood waste	Wood scrap
Rubber waste	Rubber scrap
Hazardous waste	Hazardous scrap
Composition leather	Composition leather
Glass waste	Glass scrap
Oil waste	Oil scrap
Textile waste	Textile scrap
Plastic waste	Plastic scrap
Paper waste	Paper scrap
Tobacco waste	Tobacco scrap
Food waste	Food scrap
