Manned spacecraft
Spacecraft structures
Geosynchronous satellites
Sun synchronous orbit satellites
Low earth orbit satellites
Communication satellites
Navigation satellites
Scientific satellites	research satellites
Military satellites
Weather satellites
Geostationary satellites
