Diplomatic services
Diplomats security services
Diplomatic privileges services	diplomatic immunities services
State immunities services
Embassies services	Ambassadors services
State visits organization services
International law prescription services
International law promotion services	International law recognition services
Consular services
East west cooperation services
International economic cooperation services
Political cooperation services
Territorial claims third party services	territorial negotiations third party services
International watercourse cooperation services
Treaty signature services	Treaty accessions services	Treaty rectification services
Peace treaties cooperation
Political crimes cooperation services
Aligned countries cooperation
Military cooperation services
Non aligned countries cooperation
Non governmental liaison services
International cooperation services
Multilateral cooperation services
North south cooperation services
International human relief organizations services
International court of justice services
General assembly services
Trustship council services
Secretariat services
Security council services
International political organizations services
System of organizations services
International health organizations services
Economic or social council services
International charity organizations services
