Riot shields
Riot helmets
Body armour
Barriers
Riot batons
Queuing control system
Barricades
Handcuffs
Night sticks
Alcohol analysers
Weapon or explosives detectors and supplies
Narcotic test kits
Security lanyards
Bomb protection devices and supplies
Fingerprint equipment
Forensic magnifiers
Evidence drying cabinets
Fingerprint lifters
Forensic chemical workstations
Footprint lifters
Fingerprint marking pens
Fingerprint powders
Forensic latent print chemicals
Fingerprint applicators	fingerprint brushes
Fingerprint ink
Fingerprint ink removers
Fingerprint or palmprint ink rollers
Fingerprint latent print kits
Blast guard container
Chemical biological decontamination trailer
