Test boring	core drilling
Mine development
Underground ventilation construction service
Bunker construction service
Underground seal installation service
Mine horizontal drilling service
Slope shaft construction service
Mine bore hole drilling service
Mine blasting services
Shaft sinking
Underground roofing construction service
Impoundment services	storage of water services
In situ leaching ISL services
Shaft mining services
Open pit mining services
Mine machinery rental or leasing service
Mine filling services
Soil flushing services
Overburden removal
Pumping	draining
Strip mining services
