Commercial passenger jet aircraft
Private or business propeller aircraft
Private or business jet aircraft
Fixed wing training aircraft or trainer
Commercial passenger propeller aircraft
Seaplanes
Cargo propeller aircraft
Fixed wing agricultural aircraft
Cargo jet aircraft
Passenger transport helicopters
Cargo transport helicopters
Agricultural helicopters
Medical or rescue helicopters
Rotary wing training aircraft or helicopter trainer
Attack aircraft
Fighter aircraft
Anti submarine aircraft
Bomber aircraft
Target or reconnaissance drones
Fighter bomber aircraft
Reconnaissance or surveillance aircraft
Military transport aircraft
Military seaplanes
Airships
Military transport helicopters
Attack helicopters
Reconnaissance helicopters
Anti submarine helicopters
Tilt rotor wing aircraft
Ultra light aircraft
Paragliders
Gliders
Hot air balloons
Hang gliders
