Privately owned banks
Publicly owned banks
Credit unions
Development finance institutions
Currency conversion service
Spot exchange transaction services
Currency exchange services
Funds clearance services
Letter of credit services
Operating lease finance service
Remittance processing services
Investment policy
Investment analysis
Investment agreements
Investment advisers
Market data
Precious metals market services
Privately issued bonds
Securities Custodial Services
Commodities market services	futures market services
Stock market trading services
Government bonds
Housing finance
Re financing services
Commercial mortgage finance
Deposit verification services
