Shelf stable prepared soups	Shelf stable prepared stews
Frozen prepared soups	Frozen prepared stews
Fresh prepared soups	Fresh prepared stews
Popped corn
Nuts	dried fruits
Crisps	chips	pretzels	mixes
Dried or processed meats
Flavored ices	ice cream	ice cream desserts	frozen yogurts
Dessert toppings
Prepared desserts
Edible ice cream cups	Edible ice cream cones
Gelatin	jelly crystals
Jams	jellies	fruit preserves
Nut spreads	mixed spreads
Honey
Fresh sandwiches	fresh filled rolls
Frozen sandwiches	frozen filled rolls
Fresh sandwich fillers
Frozen sandwich fillers
Fresh prepared potatoes	Fresh prepared rice	Fresh prepared pasta	Fresh prepared stuffing
Frozen prepared potatoes	Frozen prepared rice	Frozen prepared pasta	Frozen prepared stuffing
Shelf stable prepared potatoes	Shelf stable prepared rice	Shelf stable prepared pasta	Shelf stable prepared stuffing
Fresh combination meals
Frozen combination meals
Shelf stable combination meals
Fresh savory pies	Fresh savory quiches	Fresh savory pasties
Shelf stable savory pies	Shelf stable savory quiches	Shelf stable savory pasties
Frozen savory pies	Frozen savory quiches	Frozen savory pasties
Fresh plain pasta	Fresh plain noodles
Shelf stable plain pasta	Shelf stable plain noodles
Infant foods
Infant beverages
Instant snack mixes
Dessert mix
Soup bases
Batter or breading mixes
Gravy mix
Frozen prepared salads
Shelf stable prepared salads
Fresh prepared salads
