	TITLE	ID	KEYWORDS_DFG/Primary/GREEN_SUPPLY_CHAIN	KEYWORDS_DFG/Primary/GREEN_RAZOR	KEYWORDS_DFG/Primary/RECYCLING	KEYWORDS_DFG/Primary/REUSING	KEYWORDS_DFG/Secondary/GREEN_SUPPLY_CHAIN	KEYWORDS_DFG/Secondary/GREEN_RAZOR	KEYWORDS_DFG/Secondary/RECYCLING	KEYWORDS_DFG/Secondary/REUSING	financial_tone	sustainability_potential	SENTENCE	COUNT_DFG/Primary/GREEN_SUPPLY_CHAIN	COUNT_DFG/Primary/GREEN_RAZOR	COUNT_DFG/Primary/RECYCLING	COUNT_DFG/Primary/REUSING	COUNT_DFG/Secondary/GREEN_SUPPLY_CHAIN	COUNT_DFG/Secondary/GREEN_RAZOR	COUNT_DFG/Secondary/RECYCLING	COUNT_DFG/Secondary/REUSING
40	Audi 2020	8aa986f57766b19c61cc5a67f34ce0fe											The Audi e-tron Charging Service has been operating for a year.	0	0	0	0	0	0	0	0
41	Audi 2020	8aa986f57766b19c61cc5a67f34ce0fe											In February, it already provides access to a public charging infrastructure for electric vehicles in 24 European countries.	0	0	0	0	0	0	0	0
42	Audi 2020	8aa986f57766b19c61cc5a67f34ce0fe					international						1 Customers can currently use more than 135,000 charging points 1 from over 400 different international providers with just one card.	0	0	0	0	1	0	0	0
43	Audi 2020	8aa986f57766b19c61cc5a67f34ce0fe											In the future, they will be able to charge vehicles at the high-power charging terminals of the IONITY network at new rates using the City or Transit tariff.	0	0	0	0	0	0	0	0
44	Audi 2020	8aa986f57766b19c61cc5a67f34ce0fe											Here, e-tron customers benefit from heavily discounted Transit rates of 31 euro cents per kilowatt hour used.	0	0	0	0	0	0	0	0
45	Audi 2020	8aa986f57766b19c61cc5a67f34ce0fe											At the same time, the energy comes from renewable sources, which is a key component of sustainable mobility.	0	0	0	0	0	0	0	0
46																					
47	Audi 2020	fecc924e59a8563305bee3e82119352e											The coronavirus pandemic once again highlights the importance of health for society overalland the topic is a top priority at Audi, too.	0	0	0	0	0	0	0	0
48	Audi 2020	fecc924e59a8563305bee3e82119352e											For 100 years, Audi Occupational Health has offered employees help and advice.	0	0	0	0	0	0	0	0
49	Audi 2020	fecc924e59a8563305bee3e82119352e											Never before has demand been so high for these services: In addition to acute and emergency medical care for employees, the Occupational Health team has been implementing preventive measures to combat the coronavirus and providing testing options.	0	0	0	0	0	0	0	0
50	Audi 2020	fecc924e59a8563305bee3e82119352e											In collaboration with Occupational Safety and other departments, new measures were also implemented at all workstations.	0	0	0	0	0	0	0	0
51																					
52	Audi 2020	1104343d70090589a4dce075d5e1b629											Examples include social distancing, installation of partition walls and mandatory mask-wearing to ensure conformity with coronavirus regulations.	0	0	0	0	0	0	0	0
53	Audi 2020	1104343d70090589a4dce075d5e1b629											to achieve around one-third of sales in China 6 with electrified cars.	0	0	0	0	0	0	0	0
54	Audi 2020	1104343d70090589a4dce075d5e1b629											"Together with his team, Giorgio Delucchi, Head of the China and Hong Kong sales region, wants to make Audi the ""most progressive premium brand"" in this market."	0	0	0	0	0	0	0	0
55	Audi 2020	1104343d70090589a4dce075d5e1b629											On July 31, the Audi Annual General Meeting votes on the squeeze-out according to stock corporation law.	0	0	0	0	0	0	0	0
56	Audi 2020	1104343d70090589a4dce075d5e1b629											This resolution results in the transfer of all the Audi shares of the remaining shareholders to Volkswagen AG, which already holds 99.64 percent of the share capital of AUDI AG.	0	0	0	0	0	0	0	0
57																					
58	Audi 2020	63ef40da6706eb33014c27c4d7162063											Audi successfully concludes the Monitorship in September following a more than three-year collaboration with the US Monitor Larry D.	0	0	0	0	0	0	0	0
59																					
60	Audi 2020	2695366d287c62216b74a7107beb0168											Thompson.	0	0	0	0	0	0	0	0
61	Audi 2020	2695366d287c62216b74a7107beb0168											A lawyer, Mr. Thompson and his team helped the Group fulfill the conditions of the settlement agreement reached with the U.S. Department of Justice at the start of 2017 as a result of the diesel issue.	0	0	0	0	0	0	0	0
62	Audi 2020	2695366d287c62216b74a7107beb0168		systems							POSTIVE	FACT	Over the course of the Monitorship, Audi revised its structures, processes and systems in many areas, while committing to continuously improving the company and its culture.	0	1	0	0	0	0	0	0
63																					
64	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											"Audi will now bring together its global marketing measures under the slogan ""Future is an attitude."""	0	0	0	0	0	0	0	0
65	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											"""Vorsprung durch Technik"" will remain the brand claim, but Audi is redefining the term ""Vorsprung"" or progress."	0	0	0	0	0	0	0	0
66	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											The company is now placing the focus on people with their values and needs.	0	0	0	0	0	0	0	0
67	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											Sustainability, digitalization and design continue to be the central issues.	0	0	0	0	0	0	0	0
68	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											Audi pursues the goal of shaping the future of premium mobility and creating fascinating experiences for customers.	0	0	0	0	0	0	0	0
69	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											demand, the option of booking selected functions to meet their specific requirements.	0	0	0	0	0	0	0	0
70	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											This opens up completely new possibilities for customizing their own car.	0	0	0	0	0	0	0	0
71	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											This digital service is currently available for the all-electric e-tron family and for the current A4, A5, A6, A7, Q5, Q7 and Q8 models.	0	0	0	0	0	0	0	0
72	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											The functions vary depending on vehicle model and market: In the case of the Audi e-tron 9 and e-tron Sportback, 2 for example, customers can upgrade the LED headlights to matrix LED headlights with automatic high beam in the matrix LED package.	0	0	0	0	0	0	0	0
73	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											Booking takes place online via myAudi.	0	0	0	0	0	0	0	0
74	Audi 2020	e6799298ae3e16fcb205fef0f96ad92d											With functions on demand, Audi is taking another consistent step toward a seamless digital customer journey.	0	0	0	0	0	0	0	0
75																					
76	Audi 2020	64837654fb5eeafa8cdd5da15f4a9aa2											Together with her team, Christiane Zorn, Head of Product Marketing, makes functions on demand available in numerous other markets besides Germany and Norway.	0	0	0	0	0	0	0	0
77																					
78	Audi 2020	2aa8dba3298f549348a51423a845e6a0											Photo: AUDI AG 2 Audi e-tron Sportback: combined electric power consumption in kWh/100 km: 23.8-20.9 (NEDC); combined CO₂ emissions in g/km: 0 9 Audi e-tron: combined electric power consumption in kWh/100 km: 28.8-21.4 (NEDC); combined CO₂ emissions in g/km: 0	0	0	0	0	0	0	0	0
79																					
80	Audi 2020	8b6b9aee50f6fba6dbb29264bb0a2f2e											Motorsport is and will remain an established part of the Audi strategy	0	0	0	0	0	0	0	0
81																					
82	Audi 2020	f34b6a4167102988268a976100db9059											Audi resolves to enter the Dakar Rally for the first time ever in 2022 with a prototype.	0	0	0	0	0	0	0	0
83	Audi 2020	f34b6a4167102988268a976100db9059											The vehicle's drive concept combines an electric drivetrain with a high-voltage battery, which can be charged as needed via an energy converter in the form of a highly efficient TFSI engine.	0	0	0	0	0	0	0	0
84	Audi 2020	f34b6a4167102988268a976100db9059											In the future, marathon rally races will spearhead our Audi works team's motorsport activities.	0	0	0	0	0	0	0	0
85																					
86	Audi 2020	f8d2b3b6d7a2f70690892ea5c9832b0f											The Belgian site is a key plant for electric mobility within the Audi Group.	0	0	0	0	0	0	0	0
87	Audi 2020	f8d2b3b6d7a2f70690892ea5c9832b0f											Audi has been producing the brand's first electric car, the Audi e-tron, here since 2018.	0	0	0	0	0	0	0	0
88	Audi 2020	f8d2b3b6d7a2f70690892ea5c9832b0f											42,188 (43,376) vehicles were manufactured there in 2020.	0	0	0	0	0	0	0	0
89	Audi 2020	f8d2b3b6d7a2f70690892ea5c9832b0f											The plant in Brussels is one of the brand's two sites that already have net carbon-neutral 4 operations.	0	0	0	0	0	0	0	0
90																					
91	Audi 2020	5677e9fe09d69b10002aa6ef1543b814											Audi models produced at the site: Audi models produced at the site: The past year has shown me one thing above all: Audi has enormous potential.	0	0	0	0	0	0	0	0
92	Audi 2020	5677e9fe09d69b10002aa6ef1543b814											The flexibility and adaptability of people at Audi over the course of the pandemic has genuinely impressed me.	0	0	0	0	0	0	0	0
93	Audi 2020	5677e9fe09d69b10002aa6ef1543b814											The coronavirus has not kept us from getting things done.	0	0	0	0	0	0	0	0
94	Audi 2020	5677e9fe09d69b10002aa6ef1543b814											We have continued to drive the key topics of the future so that we can deliver innovations faster to our customers.	0	0	0	0	0	0	0	0
95	Audi 2020	5677e9fe09d69b10002aa6ef1543b814											This spirit is the best tool for overcoming the challenges that lie ahead of us.	0	0	0	0	0	0	0	0
96																					
