Policing services
Special weapons and tactics teams	SWAT teams	riot teams
Crime deterrence programs
Community outreach programs
Municipal firefighting services	national firefighting services
Volunteer fire department services
Fire prevention services
Forest firefighting services	wilderness firefighting services
Jail services	prison services	penitentiary services
Youth camps services	youth facilities services
Mentally impaired criminal facilities
Half way house services
Criminal case fees or fines
Civil case court expenses
Plea bargain agreements
Sheriffs services
Appeals process reviw	judicial review
Ambulance services
Search and rescue teams
Lifeguard services for pool	Lifeguard services fo beach
Life saving helicopter services
