Ceramic fixed capacitor 
Variable capacitors or varactors
Fixed capacitors
Adjustable pre set capacitors
Capacitor networks
Aluminum electrolytic fixed capacitor	Aluminium electrolytic fixed capacitor 
Tantalum fixed capacitor
Film fixed capacitor
Trimmer resistor
Fusistors
Wirewound resistor
Restrictor plate or air restrictor
Power resistor
Variable resistors or varistors
Resistor networks
Fixed resistors
Thermistor
Carbon film resistor
Surface mount resistor
Metal film oxide resistor
Rectifiers
Inductors
Ferrites
Static converters
Inverters
Resistor or capacitor R/C networks
Bridge rectifier 
Choke inductor 
Multilayerinductor
Silicon controlled rectifier
Wirewound inductor 
Microwave filter 
Ceramic filter
Surface acoustic wave SAW filter
Ceramic resonator
Surface acoustic wave SAW resonator
