Manure	guano	compost
Plant hormones

Fish meal
Fertilizer	Nitrogenous fertilizer		Potassic fertilizer		Phosphatic fertilizer	Sulphuric fertilizer	Nitrogen Phosphorous Potassium Mixtures NPK

Herbicide	Weed killer
Fungicides
