Domestic air cargo transport
International air cargo transport
Armored air transport
Vehicle transport services
Boxcar transport services
Bulk cargo rail transport services
Livestock rail transport
Domestic vessel transport services
International vessel transport services
Domestic barge transport services
International barge transport services
Armored marine transport
Regional or national trucking services
Vehicle carrier services
Relocation services
Local area trucking services
Air to ocean transportation
Ocean to rail transportation
Ocean to truck transportation
Air to truck transport
Rail truck transportation
Satellite launch services
Experimental payload services
Petroleum products transport
Water transport
National postal delivery services
Post office box services
Mailing or mail pick up or delivery services
Letter or small parcel local delivery services
Bicycle messenger services	scooter messenger services
Letter worldwide delivery services	small parcel worldwide delivery services
