Minibuses
Sports car	racing car
Busses	bus	
Automobiles or cars
Station wagons
Minivans	vans	RV	recreational vehicle
Limousines
Light trucks or sport utility vehicles	SUV	
Dump trucks
Concrete pump truck
Delivery trucks
Cargo trucks
Water trucks
Sludge or sewage handling trucks
Tow trucks
Concrete transport truck
Fire or rescue trucks
Ambulances
Police vehicles
Motorcycles
Scooters
Mopeds
Go cart
All terrain vehicles tracked or wheeled
Neighborhood electric vehicle NEV
Ladder lift truck
Refrigerator truck
Waste collection vehicle or garbage truck
Oil tank truck
Hopper truck
Flatbed truck
Golf carts
Road sweeper
Tank trucks
Van trucks
Aerial working platform truck
Quads
Snowmobiles or snow scooter
Motor homes
Agricultural tractors
Caravans or camper trailers
Amphibious vehicle
Water sprinkling truck
Armored fighting vehicles
Tanks
Self propelled artillery
Cab over engine tractors without sleeper
Cab over engine tractors with sleeper
Low cab forward tractors
Long nose tractors with sleeper
Tractor head
Long nose tractors without sleeper
