Fabric materials
Cotton fabric
Wool fabric
Silk fabric
Synthetic fabric
Satin fabric
Paper yarn fabric

Elastic braid
Ornamental trimmings
Nonwovens	Spunlaced nonwovens	Spunbonded nonwovens

Leather types	Patent leather	Chamois leather	Cow leather	Buffalo leather	Goat leather	Sheep leather	Calfskin leather	Horsehide leather	Reptile leather	Pig leather 
