Easement
Right of way
Access roads
Street car line	street trolley line
Street	avenue	road	boulevard
Intrastate highway	Intrastate freeway	Intrastate turnpike
Interstate highway	Interstate freeway	Interstate turnpike
Railway line
Subway line
Light rail line
Bike path
