Digital video recorders
Television tuners
Audio amplifier
Radio frequency transmitters	Radio frequency receivers
Radio frequency scanners
Multimedia receivers
Microphones
Global positioning system receivers
Equalizers
Digital video disk players	Digital video recorders
Radio receivers
Video or audio cassette erasers
MP3 players	mp3 recorders
Plasma screens
Satellite receivers
Compact disk players	Compact disk recorders
Subwoofers
Video cassette players	Video cassette recorders
Radio phonographs
Karaoke systems
Megaphones
Integrated circut IC chip recorder
Digital voice recorders
Minidisc players or recorders
Magnetic storage media erasers
Video tape rewinders
Combination digital video disc DVD video cassette disc VCD compact disc CD player
Video switchers
Audio switchers
Remote control
Headphones
Laser disc players
Combination television VHS and DVD recorder
Blu ray video disc player or recorder
Wireless microphone and instrument amplification system
Audio turntable
Cassette players or recorders
Televisions
Light receiver
Personal video recorder PVR
Clock radios
Loudspeakers
Radios
Digital picture frame
Home stereo or theater system
Portable stereo systems
Portable media player accessories
Microphone stand
Loud speaker stand
Audio turntable cartridge and pickup
SCART splitter box
Vinyl record storage device
Speaker enclosure
Audio or video head cleaners
Compact video cassette adapter
Cassette storage
Headphone jack adapters
