Toxic chemical
Enriched uranium
Plutonium
Hydrogen	h2
Rare gas	noble gas	inert gas
Sodium chloride	NaCl

Adhesive	glue	fixative	binder	sealer	bonding	epoxy resin	sealant	superglue
Pesticides	insecticides	herbicides	rodenticides	bactericides	fungicides	larvicides	antimicrobial	insect repellant
Cosmetic products	exfoliants	sunscreens	lotion	ointment	pomade	balm	salve	moisturizer	shampoo	creams	perfume	makeup product	hair conditioner	hair gel	liniment	poultice	hand lotion	body lotion	body cream	hair spray
Cleaning agent	detergent	soap powder	soap		disinfectant	cleaning liquid	washing agent	bleach	acid cleaners	degreasers	handwash	bathroom cleaner	all-purpose cleaner		
Paint	varnish	pigment	colourant	colouring	dye	tint	
Deodorant	Odor control products	antiperspirant	air freshner	fumigant

Liquid air
Compress air	compressed air
Industrial gas
