worker safety
building better communities
across the entire industry
sourced
workers
supply chain
safety and legally employed
safe and legal labor
responsible sourcing
people and communities
Codes of Business Conduct
Human Rights
Supply Chain Management
Risk and Crisis Management
improving the livelihoods
across our supply chains
sustainably sourced
sourcing
across our operations
trace
traceability
responsible sourcing
transparency
regions in which we operate
good governance
partnerships and collaboration
livelihoods
Ethical Labor Practices
fair trade
code of conduct
supplier audits
anti-corruption
partnership
supplier engagement
supplier requirements
track
supply chain management
transportation
procuring
sustainable procurement
logistics
