reuse
exchanged
refilling
reusable
refilled
refillable
reduce the number
used
returned
tested and refilled
quality control
inspections
retail collection
refilled and sent back
reintroduced
extending their useful life
replacing
exchange, return, and reuse
refill system
used by customers
return network
network of retailers
empty
return locations
collected
collection infrastructure
