Prepared eggs
Decharacterized egg products from chickens
In shell table egg from chickens
Egg imitation
Egg extract from chickens
Decharacterized egg products from birds other than chickens
Egg products and substitutes from birds other than chickens
Egg products and substitutes from chickens
Cooked egg from birds other than chickens
Cooked egg from chickens
In shell checked and dirty egg industrial from birds other than chickens
In shell checked and dirty egg industrial from chickens
In shell nest run egg from birds other than chickens
Egg extract from birds other than chickens
In shell table egg from specialty birds
In shell table egg from turkeys
In shell table egg from squabs or pigeons
In shell table egg from rheas
In shell table egg from quails
In shell table egg from ostriches
In shell table egg from guineafowls
In shell table egg from geese
In shell table egg from emus
In shell table egg from ducks
In shell nest run egg from chickens
Fresh milk or butter products
Shelf stable milk or butter products
Frozen milk and butter products
Powdered milk
Imitation cheese
Natural cheese
Processed cheese
