Aircraft canards
Aircraft fins
Aircraft spoilers
Aircraft spars
Aircraft ribs
Aircraft doublers
Aircraft furnishings
Aircraft canopies
Aircraft lift fans
Aircraft horizontal stabilizers
Aircraft radomes
Aircraft slats
Aircraft rotors
Aircraft rudders
Aircraft elevators
Aircraft flaps or flap drives
Aircraft propellers
Aircraft ailerons
Aircraft fuselages
Aircraft wings
Aircraft steering controls
Spacecraft altitude control systems
Air to ground terrain following systems
Aircraft navigation beacons
Aircraft digital altitude control systems
Aircraft guidance systems
Aircraft communication systems
Flight data recorders
Aircraft countermeasures
Encryption or decryption systems
Aircraft telemetry systems
Aircraft interface electronics
Aircraft gyros
Aircraft probes or sensors
Aircraft waveguides
Aircraft cameras
Flight computer systems
Spacecraft command modules
Aircraft fire control or extinguishing systems
Aircraft escape or ejection systems
Aircraft warning systems
Parachutes
Aircraft power supply units
Auxiliary power unit systems APUs
Spacecraft solar arrays
Spacecraft solar cells
Aerospace cockpit indicators
Aerospace cockpit gauges
Aerospace cockpit display panels
Aerospace head up display HUDs
Aerospace cockpit switch panels
Aircraft braking systems
Aircraft anti skid controls
Aircraft tires
Landing gear assemblies
Aircraft wheels
Aircraft drag chutes
Aircraft lapbelts
Aircraft harness restraints
Aircraft fuel management systems
Postboosters
Aircraft fuel drop tanks
Aircraft hybrid fuel storage systems
Aircraft propellant tanks
Aircraft internal fuel tanks
Aircraft windshields
Aircraft slip ring assemblies
Aircraft shock mounts
Aircraft windows
Aircraft onboard defrosting or defogging systems
Aircraft windshield wipers
Aircraft doors
Exterior aircraft lighting
Aircraft hydraulic systems
Interior aircraft lighting
Aircraft cooling fans
Aircraft water separators
Aircraft oxygen equipment
Aircraft environment controllers
Aircraft environment regulators
Aircraft cooling turbines
Aircraft heat exchangers
Pneumatic aircraft accumulators
Hydraulic aircraft accumulators
