Marine propulsion
Spark-ignition engines
Heating radiator
Central heating radiator
Boiler	Central heating boiler	Heating boiler
Low pressure boilers	Low pressure steam	Low-pressure steam heating
High pressure boilers	High pressure steam	High-pressure steam heating
Heat exchangers	heat pump	shell and tube heat exchangers	cooling fan	air-cooled heat exchangers
Pumps	centrifugal pumps	axial pump	reciprocating pump		
Valves	butterfly valve	gate valve	throttling valve	check valve	globe valve
Turbines	gas turbine	steam turbine	aircraft turbine	wind turbine	water turbine	Hydraulic turbine	water wheel	water wheel regulator
Vehicle engine
