environmental issues
stocks remain sustainable
responsible operations
Packaging
social, environmental and economic performance
stakeholders
throughout
every aspect
operational practices
responsible operations
responsibility
improving the lives
transparent in all communications
international
transnational
transcontinental
worldwide operations
capacity building
eco-labelling
NGO
global operations
packaging
preservation of resources
product labeling
information on products
resource sustainability
