Metal housings	metal cabinets
Plastic housings	plastic cabinets
Steel housings	steel cabinets
Gear box housings
Clutch housing
Plastic shells	plastic casings
Metal shells	metal casings
Steel shells	steel casings
Pump noise control housing
Machine noise control housing
Mounted generator set noise control enclosure
Air intake noise control enclosure
