Exercise books
Charts	maps	atlases
Directories
Catalogs
Newspapers
Comic books
Magazines
Leisure reading books
Reference books
Trading cards
Sheet music
Promotional material	annual reports
Operation manuals	instruction manuals
Clearance drawings	dimensional drawings
Technical diagrams	technical drawings
Periodicals
Instruction sheets	instruction booklets
Owner or user manuals
Terrestrial globes	celestial globes
Picture book	drawing book	coloring books for children
Educational or vocational textbooks
Dictionaries
Bankbook	passbook
Encyclopedias
Song Books
Religious books
Code book
Law book
