Coal cutters
Rock cutters
Continuous mining equipment
Cutter bar
Longwall shears
Cutter chain for mining
Electromagnetic vibro feeder
Feeders
Drain hole screen
Gearmotors
Screens
Apron feeder
Weigh belt feeder
Electromechanical vibro feeder
Crusher hammer
Rock crushers
Roll crushers
Cone crushers
Gyratory crushers
Impact crushers
Jaw crushers
Crushing plants
Rod mills
Ball mills
Jaw plates
Pulverizing machinery
Earth grinders
Cyclone or vortex grinders
Rock breakers
Crusher bit
Commutators
Mechanized ground support system spare parts or accessories
Shotcrete spraying equipment
Boom bolters
Scissor bolters
Cable bolters
Secondary rock breaking system spare parts or accessories
Blockholer or drill and load systems
Repetitive impact systems
Pneumatic horizontal development jumbos
Pneumatic shaft sinking jumbos
Hydraulic shaft sinking jumbos
Hydraulic horizontal development jumbos
Core drills
Exploration or development system spare parts or accessories
Top hammer long hole drills
In the hole drills ITH or down the hole DTH long hole drills
Steel drill rod
Rock drill spare parts or accessories
Hand held rock drills
Hydraulic rock drills
Pneumatic rock drills
Vacuum drill rod
Explosive loading machinery spare parts or accessories
Emulsion loading machinery
Ammonium nitrate and fuel oil ANFO loading machinery
Crane vehicles
Flat deck material carriers
Bulk material carriers
Utility service vehicles
Elevating platform vehicles or scissor lifts
Underground mining service vehicle spare parts or accessories
Personnel carriers
