Stitch bonding machines
Twisting machines
Winding or reeling or spooling machines
Felting machines
Finishing machines
Embroidery making machines
Spinning machines
Lace making machines
Knitting machines
Weaving machines
Dyeing machines
Reeling or unreeling machines
Fabric cutting tables
Fabric or cloth folding machines
Sewing machine needles
Silk processing machines
Sewing machines
Cutting or pinking machines
Bleaching machines
Cushion filling machines
Cloth cutting machines
Buttonhole machines
Button sewing machines
Button covering machines
Folding or rewinding machines
