Rags
Cleaning cloths	cleaning wipes
Chamois	wash leathers
Broom heads
Cleaning pad holders
Floor finish applicator
Dust mops
Wet mops
Mop heads
Cleaning equipment clamps
Mop or broom holder
Replacement rubbers
Trash picker
Toilet brushes
Sponges
Cleaning brushes
Brooms
Scouring pads
Dust brushes	dust pans
Broom handles	mop handles
Urinal or toilet accessories
Institutional hand dryers
Facial tissue dispensers
Toilet tissue dispensers
Cleaner dispenser
Paper towel dispensers
Sanitary goods dispensers
Sanitary waste receptacles
Institutional soap dispensers	lotion dispensers
Air freshener dispensers
Deicers or defrosters
Degreasing compounds
Air sanitizer
Caustic cleaners
Glass or window cleaners
Petroleum derivative cleaners
Carbon removing compounds
Contact surface cleaners
Muriatic acid
Stain cleaners or removers
Automotive cleaners
Toilet cleaners
Household or automotive protectants
Furniture cleaners
Anti dust products
Food grade sanitizers
Jewelry cleaning solutions
Carpet or upholstery cleaners
Deodorizers
Screen cleaner
Metal cleaners or polishes
Floor cleaners
Floor finishes or polishes
Household disinfectants
General purpose cleaners
Furniture polish or waxes
Bleaches
Ammonia cleaners
Shoe cleaning or polishing products
Dishwashing products
Laundry products
Air freshener
Drain cleaner
Dry germicidal
Absorbent socks
Super absorbent polymer
Sorbent pads or rolls
Absorbent booms
Absorbent pans
Spill kits
Plugging compound
Absorbent pillows
Absorbent mats
Granular absorbent
General purpose cleaning kits
Industrial cleaning kits
