Commercial facility rental	industrial facility rental
Residential rental
Land leases
Sale of commercial building
Real estate auction
Sale of commercial or industrial land
Sale of residential land
Real estate brokers	Real estate agents
Title search services
Title reconveyance services
Escrow account services
Property management
Real estate listing services
Real estate appraisal services
