Epitaxial services
Electronic computers equipment manufacture services	data processing equipment manufacture services
Electronic equipment manufacture services
Electrical accessories or supplies manufacture services
Radio manufacture services	television manufacture services
Communication equipment manufacture services
Measuring or testing instruments manufacture services
Electrical tools manufacture services
Power generation or transmission or distribution equipment manufacture services
Electrical household appliances manufacture services
Dry or storage battery manufacture services
Insulated wire or cable manufacture services
Scientific instruments manufacture services	measuring equipment manufacture services
Medical or dental equipment manufacture services
Photographic or optical equipment manufacture services
Watches manufacture services	clocks manufacture services
Laboratory equipment manufacture services
Test equipment upgrade services
