Fishing onshore facilities
Fishing port services
Commercial fishing operations
Sonar fishing
Whaling
Trawling
Line fishing
Seine operations
Deep sea fishing operations
Fishing nets
Fishery research services	Fishery experimentation services
Fishery data collection	Fishery data distribution
Fishery commercial management
Fishing fleet management
Fishing cooperatives
Fishery resources protection or conservation
Fishery information services	fishery documentation services
Fishing technology services
Fishery by products production services
Fish production
Fish storage
Inland water fishery resources
Fish pond resources
Fish hatcheries
Fish ranches
Fishery by product resources
Fisheries resource evaluation
Mariculture
Ostreiculture
Shellfish culture
Shrimp farming
Fish farming
