Document destruction services
Meeting planning services
Data archiving services
Fleet management services
Clerical services
Office administration services	Office secretarial services
Keyboard entry services
Audio visual services
Property management services
Receiving services	inventorying services
Furniture project administration	Furniture project management
Byproduct disposal service	Byproduct sale service
Capital asset disposal services	Capital asset sale service
Excess non capital material disposal services	obsolete non capital material disposal services	obsolete non capital material sale service	Excess non capital material sale services
Photocopier rental services	Photocopier leasing service
