Crystal soil
Topsoil
Fill dirt
# Soil
Ecaussine or alabaster
Travertine
Gypsum
Limestone dust or mine rock dust 
Pumice stone
Basalt
Limestone
Sandstone
Granite
Slate
Gravel
Marble
Silica sand
Fullers earth
Andalusite
Mullite
Chamotte
Common clay
Ball clay
Haydite
Bentonite
Kaolin or other kaolinic clays
Terra cotta
Fireclay
