External grinding machine
Surface grinding machine
Internal grinding machine
Centerless grinding machine
Bench grinder
Sawing and cut-off machine
Water jet cutting machine
Laser cutting machine
Gear cutting tool
Flame cutting machine
Electrochemical machine ECM
Plasma cutting machine
Abrasive jet machining equipment
Hob cutter
Multi step drill
Knives and skives
Single angle cutter
Rod saw blade
Shell reamer 
Pipe reamer
Drills high speed steel
Tower bolt reamer
Side milling cutter
Taper pin reamer
Taps
Pipe or tube cutter
Reamer
Shaper cutter
Shaving cutter
Solid milling cutter
Wire or cable cutter
Hex shank reamer
Plain milling cylindrical cutter
Convex cutter
Speed threader
Mult step hex step drill
Taper shank drill
Carbide tipped hole cutter
Extra length or longboy drill
Silver and deming drill 
Shell end milling cutter
Screw machine drill
Gear shaper cutter
Dovetail cutter
Woodruff seat cutter
T slot cutter
Corner rounding cutter
Concave cutter
Jobber length drill
Drill carbide
Metal slitting saw
Broach
Boring tool
Countersink tool or counterbore tool
Vibratory or barrel finishing machine
Thermal energy deburring machine
Shot blasting machine
Rotary table drilling machine
Numerically controlled drilling machine
Gun drilling machine
Gang drilling machine
Drill press or radial drill
Metal broaching machines
Jig boring machine
Horizontal boring machine
Internal broaching machine
Surface broaching machine
Insert diamond
Bar or rod cutter
Electrode holder
Form relief
Form tools or toolbits
Indexable insert
Insert ceramic
Knurling tool
Insert steel
Lathe turret
Metal cutting band saw blade
Metal cutting circular saw blade
Insert carbide
Steady rest
Tailstock
Tapping machine attachment
Threading machine attachment
Indexable tool bodies or holders
Bevel gear generator
Gear shaving machine
Gear grinding machine
Gear shaping machine
Gear lapping machine
Gear honing machine
Gear hobbing machine
Leadscrew
Tracer or duplicating or contouring lathe
Horizontal turning center
Automatic lathe or chucking machine
Turret lathe
Vertical turning center
Automatic bar machine
Horizontal machining center
Multi-tasking or universal machining center
Vertical machining center
Bridge milling machine
Gantry milling machine
Profiling and duplicating milling machine
Traveling column milling machine
Bed milling machine
Column and knee milling machine
Beveling machine
Burnishing machine
Chamfering machine
Lapping machine
Skiving machine
Metal polishing machine
Tool presetter
Diamond bore sizing machine
Super finishing machine
Honing machine
Folded tube mill machinery
Welded tube mill machinery
