Medical equipment rental and shipping fee	surgical equipment rental and shipping fee	Medical implant rental and shipping fee	surgical implant rental and shipping fee
Medical instrument maintenance	surgical instrument maintenance	Medical instrument repair	surgical instrument repair
Medical minor equipment maintenance	Medical minor equipment repair
Medical capital equipment maintenance	Medical capital equipment repair
Medical equipment service agreement	surgical equipment service agreement
